(1100692141741957120,neg,collected by group 8)des complicesdupire connais autres macron castaner nunez qui ordonnent tirer lbd sur des giletsjaunes qui seront éborgnés leur lancer des grenades qui les mutileront maintenir des gens gav pour les priver droit fondamental manifester 
(1100692139896434688,neg,collected by group 8)macron comprend rien feint rien comprendre rudesse des propos sur les violences systématiques des manifestations répétitives des gilets jaunes radicalisés est sourd exaspération croissante des français sujet 
(1100692134611566593,neg,collected by group 8)moi peux pas comprendre comprendrais jamais électeur qui reconnaît dans ses valeurs vote aujourd hui pour macron est incompréhensible macron faussé les présidentielles gouverne avec des socialistes enfinnnnnn 
(1100692132157931520,neg,collected by group 8)peut vraiment pas absenter une heure reviens macron insulté les gilets jaunes benalla est libéré 
(1100692130203422720,irr,collected by group 8)ignorance est surdité intelligence feindre pas écouter ceux qui dénoncent islamisme colporter des contre vérités théologiques vous rend complice ceux qui veulent faire croire que hijab est islam decathlon giletsjaunes macron
(1100692127007326208,neg,collected by group 8)france insoumise assemblée nationale proposé ric mais emmanuel macron majorité ont balayé revers main alors que cette revendication traverse pays sont tels comportements qui provoquent colère lamatinalelci uywgq hhf
(1100692123475738624,neu,collected by group 8)djihadistes français jugés irak cas condamnation mort france demandera une peine perpétuité assure macron wht via 
(1100692101292011520,neu,collected by group 8)video macron face aux signataires affaire siècle ère sortie portrait officiel macron lyon laffairedusiecle primevere sortonsmacron dgbx
(1100692091800305665,neg,collected by group 8)macron revient sur notre devise républicaine liberté égalité fraternité citoyen français serait plus libre manifester mais qui est censé protéger manifestant qui est censé faire respecter ordre pour éviter désordre kqogqy via 
(1100692089237630977,neg,collected by group 8)adepte des phrases pire macron lâche sur nous giletsjaunes serais samedi complicedupire dans une manifestation giletjaune pour actexvi acte après avoir laissé infiltrer des casseurs tout genre jusqu actexv acte pour discréditer mouvement agqmb
(1100692086297370624,neg,collected by group 8)nicolas macron accuse les giletsjaunes être complices pire est macron connaît bien était calmé mais nature revient est méprisant président interroge pas sur les causes crise sur politique ekq 
(1100692053095317504,pos,collected by group 8)bellamy plutôt macron que pen pwrkhcege via 
(1100692052319313920,neg,collected by group 5)emmanuel macron est président désordre injustice dénonce nicolas 
(1100692039241531395,neu,collected by group 8)rencontre macron juppe bordeaux vendredi petit dejeuner puis juppé assistera grand débat dira mot introduction tant que maire ville son clin œil car attendra départ pour envoyer lettre démission préfet 
(1100692039111454720,neu,collected by group 8)sens pas complice des casseurs des antisémites gilet jaune benjamin cauchy répond emmanuel macron vgjtlz
(1100692409741131776,irr,collected by group 8)chaque affaire ampleur nationale dévoilée par nos détracteurs entêtent illustrer proverbe chinois quand sage montre lune imbécile regarde doigt ils regardent ailleurs quand nous leur montrons des informations 
(1100692400903729153,neg,collected by group 8)montrer ces images public est information mais les montrer président public est provocation cela serait intéressant montrer macron des images retraités français faisant les poubelles pour manger afin voir réaction une provocation publique 
(1100692384596209664,irr,collected by group 8)姉妹感ある 姉は妹にちょっかいかける悪い男を威嚇するシスコン設定 owbe
(1100692383006711808,neg,collected by group 8)quel pays merde peuplé petits nazillons lâches décérébrés vous méritez macron soyez patients juste derrière lui est pen qui arrive mangez vos morts rbe
(1100692381689626626,neg,collected by group 8)voilà pire macron complicedupire castaner giletsjaunes acte 
(1100692373800144896,neu,collected by group 8)castaner tabasse commissaire européenne aux droits homme remet son mémo contre répression policière france des gilets jaunes elle souhaite suspendre usage lbd gouvernement macron refuse castaner dit que lbd sera encore utilisé ccf 
(1100692357018775552,neg,collected by group 5)giletsjaunes mes chers gilets jaunes peuple qui nous soutient combat continue car macron arrogant continue nous mépriser traitant les personnes qui nous rejoignent être complice pire cet ordure doit etre destituer tout prix fini dictature 
(1100692354753839105,neu,collected by group 8)affaire macron benalla réponse nos détracteurs 
(1100692352849666048,neu,collected by group 8)oups est moment emmanuel macron évoque retour taxe carbone sous conditions 
(1100692347778670592,neu,collected by group 8)réforme chômage est repoussée après les européennes faudrait pas que les cadres qui vont être durement touchés soient tentés sanctionner électoralement président macron quel cynisme mlp
(1100692346830757893,neg,collected by group 5)scénario est écrit avance laisse pourrir manifs jusqu semaines jours européennes reprend main fermement interpelle casse groupuscules extrémisteson vient présenter héros aux français voilà comment macron agir
(1100692339406921728,neu,collected by group 8)macron kekra iqf
(1100692329558654976,pos,collected by group 8)ptdr mec qui crache sans arrêt son venin contre celles ceux qui luttent contre police anti sociale anti environnementale macron apporte son soutien sanders vraiment des cons ces social traitre entre autre 
(1100692327935430657,irr,collected by group 8)macron party fuels islamophobia stoking opposition sports hijab headline you won seeing media too busy shutting down free speech israel under the guise anti semitism care about racism from liberals against muslims uxlnig
(1100692550543966210,neg,collected by group 8)enfumage macron lqg 
(1100692546903261187,pos,collected by group 8)mlp répète toujours elle est gauche droite elle est ennemie droite alliée objective macron pour exister macron mlp ont besoin autre 
(1100692543757565953,irr,collected by group 8)lgib
